"App ID","App ID
"App Secret","App Secret"
"Facebook #: %s","Facebook #: %s"
"Facebook Connect","Facebook Connect"
"Facebook Connect process aborted.","Facebook Connect process aborted."
"Facebook Options","Facebook Options"
"Sorry, could not retrieve your Facebook first name. Please try again.","Sorry, could not retrieve your Facebook first name. Please try again."
"Sorry, could not retrieve your Facebook last name. Please try again.","Sorry, could not retrieve your Facebook last name. Please try again."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","We have discovered you already have an account at our store. Your Facebook account is now connected to your store account."
"You can connect store account with your Facebook account so you could login easier in the future.","You can connect store account with your Facebook account so you could login easier in the future."
"You can login using your <strong>Facebook</strong> credentials.","You can login using your <strong>Facebook</strong> credentials."
"You have successfully disconnected your Facebook account from our store account.","You have successfully disconnected your Facebook account from our store account."
"You have successfully logged in using your Facebook account.","You have successfully logged in using your Facebook account."
"Your Facebook account is already connected to one of our store accounts.","Your Facebook account is already connected to one of our store accounts."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address."
