"female","female"
"male","male"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Google #: %s","Google #: %s"
"Google Connect","Google Connect"
"Google Connect process aborted.","Google Connect process aborted."
"Google Options","Google Options"
"Sorry, could not retrieve your Google first name. Please try again.","Sorry, could not retrieve your Google first name. Please try again."
"Sorry, could not retrieve your Google last name. Please try again.","Sorry, could not retrieve your Google last name. Please try again."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","We have discovered you already have an account at our store. Your Google account is now connected to your store account."
"You can connect store account with your Google account so you could login easier in the future.","You can connect store account with your Google account so you could login easier in the future."
"You can login using your <strong>Google</strong> credentials.","You can login using your <strong>Google</strong> credentials."
"You have successfully disconnected your Google account from our store account.","You have successfully disconnected your Google account from our store account."
"You have successfully logged in using your Google account.","You have successfully logged in using your Google account."
"Your Google account is already connected to one of our store accounts.","Your Google account is already connected to one of our store accounts."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address."
