"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Since Twitter doesn't support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href=""%s"">Edit Account Information</a>.","Since Twitter doesn't support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href=""%s"">Edit Account Information</a>."
"Sorry, could not retrieve your Twitter last name. Please try again.","Sorry, could not retrieve your Twitter last name. Please try again."
"Twitter #: %s","Twitter #: %s"
"Twitter Connect","Twitter Connect"
"Twitter Connect process aborted.","Twitter Connect process aborted."
"Twitter Options","Twitter Options"
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","We have discovered you already have an account at our store. Your Twitter account is now connected to your store account."
"You can connect store account with your Twitter account so you could login easier in the future.","You can connect store account with your Twitter account so you could login easier in the future."
"You can login using your <strong>Twitter</strong> credentials.","You can login using your <strong>Twitter</strong> credentials."
"You have successfully disconnected your Twitter account from our store account.","You have successfully disconnected your Twitter account from our store account."
"You have successfully logged in using your Twitter account.","You have successfully logged in using your Twitter account."
"Your Twitter account is already connected to one of our store accounts.","Your Twitter account is already connected to one of our store accounts."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.",""Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address."
