"Base Url","基本Url"
"Enabled","启用"
"If you want to request data within a script, a crontab, etc. you need to add the parameter to the API calls URLs that require authentication. This is done trough token_auth param. Please obtain this value from piwik.","如果你想在脚本，crontab等里面请求数据，你需要将该参数加到API调用的需要认证的URL上。这是通过token_auth参数实现的，请从piwik获得该参数值。"
"Piwik Analytics","Piwik分析"
"Piwik Analytics Settings","Piwik分析设置"
"Secure Base Url","安全基本Url"
"Secure (HTTPS) url of the site where ""Piwik"" is installed and publicly available, i.e. http://piwik.myserver.net/. If no HTTPS, then give HTTP.","安装“Piwik”的公开站点的安全（HTTPS）Url，例如：http://piwik.myserver.net/。如果没有HTTPS，就是HTTP。"
"Site ID","站点ID"
"Site ID string provided by ""Piwik"", i.e. 3.","站点ID由“Piwik”提供，例如：3。"
"Token Auth","令牌认证"
"Url of the site where ""Piwik"" is installed and publicly available, i.e. http://piwik.myserver.net/.","安装“Piwik”的公开站点的Url，例如：http://piwik.myserver.net/。"
