"0 OR interval time in ms","0或间隔时间，以毫秒为单位"
"About FancyBox (1.3.4)","关于FancyBox(1.3.4)"
"About LightboxClone (0.5)","关于灯箱克隆(0.5)"
"About PiroBox (1.2.2)","关于PiroBox(1.2.2)"
"About PiroBox Extended (1.0)","关于PiroBox扩展(1.0)"
"About prettyPhoto (3.1.3)","关于prettyPhoto(3.1.3)"
"Available themes for prettyPhoto",""
"allow_resize","允许缩放"
"animation speed","动画速度"
"animation_speed","动画速度"
"auto","自动"
"autoplay_slideshow","自动播放幻灯片"
"background opacity",""
"background overlay opacity, from 0 to 1.","背景覆盖物不透明度，从0到1。"
"bg_alpha","背景不透明度"
"black border corners + shadow","黑边框边角+阴影"
"Click <a href=""http://leandrovieira.com/projects/jquery/lightbox/"" target=""_blank"">here</a> for more details","点击<a href=""http://leandrovieira.com/projects/jquery/lightbox/"" target=""_blank"">这里</a>了解更多详情"
"Click <a href=""http://www.pirolab.it/pirobox"" target=""_blank"">here</a> for more details","点击<a href=""http://www.pirolab.it/pirobox"" target=""_blank"">这里</a>了解详情"
"Click here for more details: <a href=""http://www.no-margin-for-errors.com/projects/prettyphoto-jquery-lightbox-clone/"" target=""_blank"">Homepage</a> | <a href=""http://www.no-margin-for-errors.com/projects/prettyphoto-jquery-lightbox-clone/documentation/"" target=""_blank"">Documentation</a>","点击这里了解详情：<a href=""http://www.no-margin-for-errors.com/projects/prettyphoto-jquery-lightbox-clone/"" target=""_blank"">主页</a> | <a href=""http://www.no-margin-for-errors.com/projects/prettyphoto-jquery-lightbox-clone/documentation/"" target=""_blank"">文档</a>"
"Color of the overlay","覆盖物颜色"
"Currently it's further development is carried under the name of <strong>PiroBox Extended</strong>.","当前它的未来开发是以<strong>PiroBox扩展</strong>名义进行的。"
"containerBorderSize","容器边框大小"
"containerResizeSpeed","容器缩放速度"
"counter_separator_label","计数器分割符"
"Default: Head.<br/>Note that jQuery.noConflict() is included implicitly","默认：Head<br/>注意：隐含地包含了jQuery.noConflict()"
"Disable Zoom Bar","禁用缩放工具"
"default_height","默认高度"
"default_width","默认宽度"
"double border corners black/white","黑/白双边框边角"
"double border corners white/black","白/黑双边框边角"
"Easing used for elastic animations","用于弹性动画延缓"
"Enabled","启用"
"elastic","伸缩"
"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style ""lightbox"" that floats overtop of web page.","FancyBox是一种以飘浮在网页上的Mac格式的“灯箱”显示图像，html内容和多媒体的工具。"
"For more details visit the links: <a href=""http://fancybox.net/home"" target=""_blank"">Homepage</a> | <a href=""http://fancybox.net/api"" target=""_blank"">Configuration Options</a>","要获取详情请访问：<a href=""http://fancybox.net/home"" target=""_blank"">主页</a> | <a href=""http://fancybox.net/api"" target=""_blank"">配置选项</a>"
"fade","褪色"
"fast","快"
"General Settings","常规设置"
"Google CDN (Version 1.7.1)","谷歌CDN（V1.7.1）"
"Hides all the flash object on a page, set to TRUE if flash appears over prettyPhoto","隐藏页面上的所有flash对象，如果flash显示在prettyPhoto之上设置为“是”"
"hideflash","隐藏flash"
"horizontal_padding","水平padding"
"If ""Yes"" option is selected, then it will include the lightbox files (js + css) so that it can be used outside of product description page also. For example: CMS Pages/Static Blocks, 3rd party modules like Image Gallery etc.<br/><strong>Note:</strong> Make sure to check that Lightbox files are included in Head in order to make it work globally.","如果选择了“是”选项，那么将全局地包含灯箱文件（js + css），在产品描述页面之外的地方也可以使用。例如：CMS页面/静态块，类似图像画廊的第三方模块等等。<br/><strong>注意：</strong>要使灯箱文件全局可用，确信检查灯箱头文件包含在Head。"
"If set to false, will hide the social tool (twitter/facebook) from lightbox","如果设置为“否”，将从灯箱隐藏社交工具(twitter/facebook)"
"If set to true, a gallery will overlay the fullscreen image on mouse over","如果设置为“是”，鼠标悬停时，画廊将覆盖全屏图像"
"If set to true, only the close button will close the window","如果设置为“是”，仅有关闭按钮才能关闭窗口"
"If true, FancyBox is scaled to fit in viewport","如果为“是”，FancyBox进行缩放以适应viewport"
"Include Lightbox initialization code in","包含灯箱初始化代码的位置"
"Include jQuery file","包含jQuery文件"
"Include jQuery file from","jQuery文件位置"
"Include jQuery file in","包含jQuery文件的位置"
"Include Lightbox files globally","全局地包含灯箱文件"
"Include Lightbox files in","包含灯箱文件的位置"
"Include Main Image In ""More Views"" Lightbox Gallery","在“更多视图”灯箱画廊里包含主图片"
"inside","里面"
"JS File Settings","JS文件设置"
"jQuery lightBox plugin is simple, elegant, unobtrusive, no need extra markup and is used to overlay images on the current page through the power and flexibility of jQuery's selector.","jQuery灯箱插件是简单的，大方的， 不显眼的，无需额外的标记，利用jQuery选择器的强大和灵活用于覆盖当前页面的图像。"
"Lightbox Clone","灯箱克隆"
"Lightbox initialization code for global usage","全局使用时的灯箱初始化代码"
"Lightbox Type","灯箱类型"
"Local (Version 1.7.1)","本地（V1.7.1)"
"Main Image Size","主图片大小"
