"<strong><font color=""red"">Note</font></strong> It can be signed and enabled only after <strong>Alipay Instant Credit Transactions</strong> have been successful sign.","<strong><font color=""red"">注意</font></strong> 仅在成功签约<strong>支付宝即时到帐交易</strong>之后，才能签约并启用它。"
"About Alipay","关于支付宝"
"Agricultural Bank of China","中国农业银行"
"After clicking the button, you will be redirected to %s.","点击按钮后,您将会转向到%s。"
"After logonning to <a target=""_blank"" href=""https://b.alipay.com/"">Merchant Service Center (https://b.alipay.com/)</a> and installing a digital certificate, merchants can view the private keys by clicking ""Transaction Security Code"" in the ""Technical Services"" Column.","商户登录<a target=""_blank"" href=""https://b.alipay.com/"">商户服务中心（https://b.alipay.com/）</a>并安装数字证书之后，可以在“技术服务”栏目中点击“交易安全校验码”查看合作者密钥。"
"Alipay","支付宝"
"Alipay Dual Function Transactions","支付宝双功能交易"
"Alipay Instant Credit Transactions","支付宝即时到帐交易"
"Alipay is one of our partners.","支付宝是我们的合作伙伴之一。"
"Alipay Payment","支付宝付款"
"Alipay Quick Login","支付宝快捷登录"
"Alipay Secured Transactions","支付宝担保交易"
"Alipay had received the notification of delivery.","支付宝已收到发货通知。"
"Allow Refund Time","允许退款时间"
"Antiphishing IP Check","已开通防钓鱼IP检查"
"Antiphishing Timestamp Verify","已开通防钓鱼时间戳验证"
"As Alipay don't support the function of combined payment, please pay for the following orders one by one. Before paid for all orders, don't close the window.","由于支付宝不支持合并付款，请逐个为下面的订单付款。在为所有订单付完款之前，请不要关闭本窗口。"
"Balance Payment","余额付款"
"Bank of Beijing","北京银行"
"Bank of China","中国银行"
"Bank of Communications","交通银行"
"Bank of Hangzhou","杭州银行"
"Bank of Shanghai","上海银行"
"Bank of Ningbo","宁波银行"
"Bank of Wenzhou","温州银行"
"Beijing Rural Commercial Bank","北京农村商业银行"
"Buyers had applied for a refund. Please operate (agree or refuse) on Alipay.","买家已申请退款，请上支付宝进行操作（同意或拒绝）。"
"Buyer had paid. The transaction is finish.","买家已付款，交易结束。"
"Buyer had paid. The transaction is success.","买家已付款，交易成功。"
"Buyer has received goods, the transaction is complete.","买家已收货，交易完成。"
"Buyer had returned goods. After receiving returned goods, Please refund on Alipay.","买家已退货。收到退货后，请上支付宝退款。"
"Buyer is waitting for sending goods what had been paid.","买家已付款，等待发货。"
"CTU is Alipay risk audit system.","CTU即“支付宝风险稽查系统”。"
"China CITIC Bank","中信银行"
"China Construction Bank","中国建设银行"
"China Everbright Bank","中国光大银行"
"China Merchants Bank","招商银行"
"China Minsheng Bank","中国民生银行"
"Corporate Banking","企业银行"
"Credit Payment","信用付款"
"Default Pay Method","默认付款方式"
"Delete","删除"
"Do transactions need CTU check?","交易需要CTU校验吗？"
"EMS Logistics","EMS物流"
"Express Logistics","快递物流"
"FuDian Bank","富滇银行"
"Gold account has been activated.","金账户已激活。"
"Gold account is not active.","金账户未激活。"
"Guangdong Development Bank","广发银行"
"Has Configured Transactions Auto Close Timeout","已配置交易自动关闭时间"
"Has Configured to Support CTU Check Permissions","已配置支持CTU校验权限"
"Has Configured to Support Custom Timeout","已配置支持自定义超时"
"Has Opened the Function of Antiphishing IP Check","已开通防钓鱼IP校验"
"Has Opened the Function of Antiphishing Timestamp Verify","已开通防钓鱼时间戳验证"
"Has Opened the Function of Credit Pay","已开通信用付款"
"Has Opened the Function of Request Error Notification","已开通请求出错通知"
"IMPERIAL_VIP","至尊VIP会员"
"Internet Banking","网上银行"
"If browser is not jump automatically in 10 seconds, please click me.","如果浏览器在10秒内没有自动跳转,请点击我"
