"Best Seller","畅销商品"
"Biggest Saving","特惠商品"
"Content of Category Page","分类页的内容部分"
"Content of Not Category Page","非分类页的内容部分"
"Data Sources","数据来源"
"Display Amount","显示数量"
"Display Name","显示名称"
"Display Order","显示顺序"
"Feature","特性"
"Featured Goods","特色商品"
"Grid","网格"
"Horizontal slider","水平滑块"
"Left of Category Page","分类页的左边栏"
"Left of Not Category Page","非分类页的左边栏"
"List","列表"
"Most Carted","值得购买"
"Most Reviewed","最多评论"
"Most Viewed","最多关注"
"Most Wishlisted","值得收藏"
"New Listing","新品上市"
"New Product Cycles","新产品周期"
"Product Feature","产品特性"
"Quick View","快速查看"
"Real Data","真实数据"
"Right of Category Page","分类页的右边栏"
"Right of Not Category Page","非分类页的右边栏"
"Sidebar List","边栏列表"
"Store Owner Input","店主输入"
"Top Rated","好评如潮"
"Vertical Slider","垂直滑块"
