"Active","启用"
"App ID","应用ID"
"App Secret","应用密钥"
"Cannot retrieve the SocialConnect method account url.","不能找到社交帐户方法的帐户Url。"
"Cannot retrieve the SocialConnect method code.","不能找到社交帐户方法的代码。"
"Client ID","客户端ID"
"Client Secret","客户端密钥"
"Connect Text","连接文字"
"Consumer Key","客户键值"
"Consumer Secret","客户密钥"
"Description","描述"
"Disconnect Text","断开文字"
"Display Centralized","集中显示"
"Display Separately","分别显示"
"Display Style","显示方式"
"Facebook Options","脸谱"
"General","常规"
"Google Options","谷歌"
"Social Connect","社交帐户"
"Sort Order","排列顺序"
"Title","标题"
"Twitter Options","推特"
